GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_021442415.1	30921798	GCF_021442415.1	30956198	
GCA_021462265.1	30942388	GCF_021462265.1	30956378	
GCA_021462825.1	30943608	GCF_021462825.1	30955978	
GCA_021474405.1	30959978	GCF_021474405.1	30992968	
GCA_021474425.1	30959998	GCF_021474425.1	30986378	
GCA_021491675.1	30988598	GCF_021491675.1	30993748	
GCA_021496465.1	30994348	GCF_021496465.1	31003668	
GCA_021496485.1	30994368	GCF_021496485.1	31003688	
GCA_021496785.1	30994668	GCF_021496785.1	31035478	
GCA_021502675.1	31000968	GCF_021502675.1	31034818	
GCA_021502685.1	31000988	GCF_021502685.1	31035018	
GCA_021538775.1	31043748	GCF_021538775.1	31065928	
GCA_021538815.1	31043808	GCF_021538815.1	31065808	
GCA_021538835.1	31043828	GCF_021538835.1	31065888	
GCA_021538875.1	31043848	GCF_021538875.1	31065948	
GCA_021538895.1	31043878	GCF_021538895.1	31065828	
GCA_021545335.1	31054008	GCF_021545335.1	31065908	
GCA_021556455.1	31069008	GCF_021556455.1	31127248	
GCA_021600165.1	31115328	GCF_021600165.1	31180258	
GCA_021665875.1	31200048	GCF_021665875.1	31550378	
GCA_021696945.1	31231378	GCF_021696945.1	31550398	
GCA_021890875.1	31429938	GCF_021890875.1	31567358	
GCA_021892415.1	31431488	GCF_021892415.1	31566518	
GCA_022015835.1	31581798	GCF_022015835.1	31738928	
GCA_022026295.1	31592458	GCF_022026295.1	31739008	
GCA_022213265.1	31796778	GCF_022213265.1	31800868	
GCA_022220465.1	31806568	GCF_022220465.1	31814188	
GCA_022221585.1	31807718	GCF_022221585.1	31845028	
GCA_022271435.1	31861108	GCF_022271435.1	31944808	
GCA_022288725.1	31880898	GCF_022288725.1	31950088	
GCA_022347745.1	31957398	GCF_022347745.1	31963778	
GCA_022385335.1	32001978	GCF_022385335.1	32022648	
GCA_022392825.1	32009648	GCF_022392825.1	32022688	
GCA_022399475.1	32016438	GCF_022399475.1	32027388	
GCA_022399485.1	32016428	GCF_022399485.1	32027728	
GCA_022399495.1	32016448	GCF_022399495.1	32027568	
GCA_022399545.1	32016468	GCF_022399545.1	32027508	
GCA_022399585.1	32016508	GCF_022399585.1	32027908	
GCA_022414535.1	32049568	GCF_022414535.1	32081708	
GCA_022414575.1	32049608	GCF_022414575.1	32082068	
GCA_022414595.1	32049628	GCF_022414595.1	32081428	
GCA_022414615.1	32049648	GCF_022414615.1	32081328	
GCA_022414635.1	32049668	GCF_022414635.1	32081768	
GCA_022513565.1	32185318	GCF_022513565.1	32204828	
GCA_022524345.1	32200748	GCF_022524345.1	32228488	
GCA_022614595.1	32330888	GCF_022614595.1	32349888	
GCA_022647665.1	32368918	GCF_022647665.1	32437268	
GCA_022695595.1	32428688	GCF_022695595.1	32445108	
GCA_022695635.1	32428728	GCF_022695635.1	32445048	
GCA_022695985.1	32435928	GCF_022695985.1	32444988	
GCA_022698145.1	32442908	GCF_022698145.1	32509888	
GCA_022698165.1	32442928	GCF_022698165.1	32510028	
GCA_022698285.1	32443048	GCF_022698285.1	32509908	
GCA_022698305.1	32443068	GCF_022698305.1	32510068	
GCA_022699385.1	32444148	GCF_022699385.1	32509988	
GCA_022747965.1	32494248	GCF_022747965.1	32509868	
GCA_022748185.1	32494468	GCF_022748185.1	32510048	
GCA_022748615.1	32494908	GCF_022748615.1	32509948	
GCA_022759525.1	32509308	GCF_022759525.1	32518338	
GCA_022760195.1	32518058	GCF_022760195.1	32539418	
GCA_022760275.1	32518578	GCF_022760275.1	32571258	
GCA_022807935.1	32571478	GCF_022807935.1	32582638	
GCA_022808175.1	32571958	GCF_022808175.1	32582338	
GCA_022809335.1	32573118	GCF_022809335.1	32582198	
GCA_022815725.1	32589108	GCF_022815725.1	32598118	
GCA_022827705.1	32606718	GCF_022827705.1	32609728	
GCA_022846655.1	32629518	GCF_022846655.1	32697978	
GCA_022846675.1	32629538	GCF_022846675.1	32676878	
GCA_022869105.1	32654968	GCF_022869105.1	32774348	
GCA_023072595.1	32872248	GCF_023072595.1	32922118	
GCA_023072675.1	32872318	GCF_023072675.1	32922058	
GCA_023072755.1	32872418	GCF_023072755.1	32922098	
GCA_023096395.1	32929038	GCF_023096395.1	32952458	
GCA_023155275.1	32998478	GCF_023155275.1	33026708	
GCA_023168305.1	33019118	GCF_023168305.1	33104168	
GCA_023168385.1	33019198	GCF_023168385.1	33104248	
GCA_023184515.1	33046638	GCF_023184515.1	33104568	
GCA_023210535.1	33073038	GCF_023210535.1	33113408	
GCA_023218175.1	33080728	GCF_023218175.1	33205568	
GCA_023273835.1	33161098	GCF_023273835.1	33225048	
GCA_023277745.1	33165398	GCF_023277745.1	33235178	
GCA_023277965.1	33165618	GCF_023277965.1	33235298	
GCA_023330645.1	33221928	GCF_023330645.1	33240778	
GCA_023370675.1	33278818	GCF_023370675.1	33421698	
GCA_023376055.1	33284318	GCF_023376055.1	33408888	
GCA_023498005.1	33407178	GCF_023498005.1	33432768	
GCA_023501965.1	33414218	GCF_023501965.1	33434648	
GCA_023502025.1	33414308	GCF_023502025.1	33435188	
GCA_023502165.1	33414408	GCF_023502165.1	33435228	
GCA_023515955.1	33438248	GCF_023515955.1	33456538	
GCA_023516595.1	33444708	GCF_023516595.1	33527638	
GCA_023516615.1	33444738	GCF_023516615.1	33527698	
GCA_023534745.1	33514308	GCF_023534745.1	33578348	
GCA_023534765.1	33514328	GCF_023534765.1	33578388	
GCA_023544665.1	33525938	GCF_023544665.1	33592968	
GCA_023544705.1	33525978	GCF_023544705.1	33592628	
GCA_023554615.1	33545608	GCF_023554615.1	33592988	
GCA_023614235.1	33687548	GCF_023614235.1	33719138	
GCA_023614315.1	33687628	GCF_023614315.1	41461688	
GCA_023630175.1	33713828	GCF_023630175.1	33732748	
GCA_023630275.1	33713928	GCF_023630275.1	41461708	
GCA_023667545.1	33764358	GCF_023667545.1	33803158	
GCA_023669525.1	33766318	GCF_023669525.1	33803058	
GCA_023669545.1	33766368	GCF_023669545.1	33802978	
GCA_023669605.1	33766398	GCF_023669605.1	33803118	
GCA_023701525.1	33809128	GCF_023701525.1	33811538	
GCA_023701695.1	33810868	GCF_023701695.1	33812938	
GCA_023701715.1	33810928	GCF_023701715.1	33813098	
GCA_023701745.1	33810948	GCF_023701745.1	33813018	
GCA_023702105.1	33812278	GCF_023702105.1	33824648	
GCA_023702435.1	33812778	GCF_023702435.1	33824748	
GCA_023702655.1	33813298	GCF_023702655.1	33824708	
GCA_023703325.1	33820518	GCF_023703325.1	33887348	
GCA_023713605.1	33852818	GCF_023713605.1	33887978	
GCA_023716005.1	33855218	GCF_023716005.1	33997818	
GCA_023717205.1	33856828	GCF_023717205.1	33915088	
GCA_023717255.1	33856858	GCF_023717255.1	33915488	
GCA_023805375.1	33990758	GCF_023805375.1	33999798	
GCA_023838445.1	34034828	GCF_023838445.1	34103108	
GCA_023887685.1	34084928	GCF_023887685.1	34201658	
GCA_023923245.1	34178938	GCF_023923245.1	34301108	
GCA_023930305.1	34186498	GCF_023930305.1	34301008	
GCA_024105145.1	34410918	GCF_024105145.1	34435628	
GCA_024105195.1	34410978	GCF_024105195.1	34436148	
GCA_024105205.1	34411018	GCF_024105205.1	34435548	
GCA_024105315.1	34411078	GCF_024105315.1	34436188	
GCA_024105335.1	34411098	GCF_024105335.1	34435848	
GCA_024107415.1	34413178	GCF_024107415.1	34435328	
GCA_024107435.1	34413198	GCF_024107435.1	34435268	
GCA_024107455.1	34413218	GCF_024107455.1	34436048	
GCA_024107465.1	34413238	GCF_024107465.1	34435788	
GCA_024107495.1	34413258	GCF_024107495.1	34435588	
GCA_024107515.1	34413278	GCF_024107515.1	34435408	
GCA_024138375.1	34499738	GCF_024138375.1	34570278	
GCA_024172095.1	34535288	GCF_024172095.1	34591568	
GCA_024213005.1	34613688	GCF_024213005.1	34663258	
GCA_024213195.1	34613848	GCF_024213195.1	34663398	
GCA_024213665.1	34614328	GCF_024213665.1	34663178	
GCA_024218735.1	34619368	GCF_024218735.1	34663318	
GCA_024223055.1	34624498	GCF_024223055.1	34692998	
GCA_024295805.1	34727518	GCF_024295805.1	34736218	
GCA_024297125.1	34729718	GCF_024297125.1	34763658	
GCA_024298965.1	34739938	GCF_024298965.1	34763578	
GCA_024349065.1	34791878	GCF_024349065.1	34824318	
GCA_024349085.1	34791898	GCF_024349085.1	34824598	
GCA_024349145.1	34791978	GCF_024349145.1	34824358	
GCA_024349165.1	34791998	GCF_024349165.1	34824518	
GCA_024349285.1	34792098	GCF_024349285.1	36408158	
GCA_024349765.1	34792598	GCF_024349765.1	36409258	
GCA_024365045.1	34808288	GCF_024365045.1	34833378	
GCA_024380135.1	34833578	GCF_024380135.1	34953668	
GCA_024435335.1	34893658	GCF_024435335.1	34966688	
GCA_024435355.1	34893668	GCF_024435355.1	34962448	
GCA_024436035.1	34894348	GCF_024436035.1	34961908	
GCA_024436055.1	34894378	GCF_024436055.1	34961928	
GCA_024442315.1	34900638	GCF_024442315.1	34962488	
GCA_024442335.1	34900658	GCF_024442335.1	34962568	
GCA_024448155.1	34906538	GCF_024448155.1	34966708	
GCA_024448165.1	34906558	GCF_024448165.1	34962548	
GCA_024448175.1	34906548	GCF_024448175.1	34964408	
GCA_024497955.1	34971708	GCF_024497955.1	35014408	
GCA_024499195.1	34988378	GCF_024499195.1	35024858	
GCA_024505145.1	35009708	GCF_024505145.1	35025018	
GCA_024505305.1	35009898	GCF_024505305.1	35024778	
GCA_024508375.2	37405198	GCF_024508375.2	37487138	
GCA_024519315.1	35029668	GCF_024519315.1	35193878	
GCA_024519335.1	35029688	GCF_024519335.1	35052628	
GCA_024519455.1	35029828	GCF_024519455.1	36420388	
GCA_024539675.1	35050838	GCF_024539675.1	35096938	
GCA_024584805.1	35104248	GCF_024584805.1	36417788	
